"image_id";"filename";"caption"
"1";"basin.jpg";"Water basin at Ryoanji temple, Kyoto"
"2";"fountains.jpg";"Fountains in central Tokyo"
"3";"kinkakuji.jpg";"The Golden Pavilion in Kyoto"
"4";"maiko.jpg";"Maiko&mdash;trainee geishas in Kyoto"
"5";"maiko_phone.jpg";"Every maiko should have one&mdash;a mobile, of course"
"6";"menu.jpg";"Menu outside restaurant in Pontocho, Kyoto"
"7";"monk.jpg";"Monk begging for alms in Kyoto"
"8";"ryoanji.jpg";"Autumn leaves at Ryoanji temple, Kyoto"
"image_id";"filename";"caption"
"1";"basin.jpg";"Water basin at Ryoanji temple, Kyoto."
"2";"fountains.jpg";"Fountains in central Tokyo."
